Uid_final,so_don_tong,OD1_Final_Reporting_Month,don_moi_nhat_Final_Reporting_Month,don_moi_nhat_remain,don_moi_nhat_status,phan_loai
3137193806,1,2026-06,2026-06,1,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3177168845,1,2026-06,2026-06,1,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3203520970,1,2026-06,2026-06,1,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3206876296,1,2026-06,2026-06,1,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3207472369,1,2026-06,2026-06,3,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3208131714,1,2026-06,2026-06,1,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3220135496,1,2026-06,2026-06,2,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3221011244,1,2026-06,2026-06,1,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3267279341,1,2026-06,2026-06,4,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3268185467,2,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3276202328,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3278782120,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3281503115,1,2026-06,2026-06,2,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3288468962,1,2026-06,2026-06,2,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3288816373,2,2026-06,2026-11,50,In-progress,Da gia han OD2+ (DA1RP xep sang thang khac)
3291125052,1,2026-06,2026-06,3,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3293177369,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3296106710,1,2026-06,2026-06,1,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3296826186,1,2026-06,2026-06,2,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3296926082,1,2026-06,2026-06,1,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3297134881,1,2026-06,2026-06,1,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3297390555,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3297512527,2,2026-06,2026-06,1,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3298395122,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3299303875,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3299337804,2,2026-06,2026-11,49,In-progress,Da gia han OD2+ (DA1RP xep sang thang khac)
3299783373,1,2026-06,2026-06,3,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3299783651,1,2026-06,2026-06,5,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3299900891,1,2026-06,2026-06,2,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3300164170,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3300205659,1,2026-06,2026-06,3,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3300300562,1,2026-06,2026-06,5,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3300412742,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3300493952,2,2026-06,2026-12,54,In-progress,Da gia han OD2+ (DA1RP xep sang thang khac)
3300530455,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3300562701,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3300588158,1,2026-06,2026-06,3,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3300633137,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3300674112,2,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3300676281,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3300822338,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3300834724,1,2026-06,2026-06,0,,Da hoc het remain<=0 (DA1RP danh Expired)
3300855110,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3300882951,1,2026-06,2026-06,6,In-progress,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
3301158461,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3301177185,1,2026-06,2026-06,0,Expired,Da hoc het remain<=0 (DA1RP danh Expired)
3301179172,2,2026-06,2026-06,4,Expired,"Con active, OD1 = don moi nhat (ca 2 deu dem)"
