channel,channel_name
300444,APP自流量-本地化越南
-99,
510,国内crm导入-全球（除主线国家）
832,越南河内转介绍 - Kênh giới thiệu Hà Nội
300551,越南 - Tiktok Shop
300281,河内自投FB H5 - FB H5 HN tự QC
1032,越南胡志明转介绍 - Kênh giới thiệu HCM
300511,越南 - HN - Linh Dam Store
300431,越南 - VN Livestream
300265,越南河内-FB
300561,越南 - FB-Instant Form-VN
300521,越南 - HN - An Binh Store
300361,Hà Nội - Khách hàng tự gọi đến Hotline (河内官网热线）
300531,越南 - HN - Paid Partnership
300311,越南 销售拓展 - Sales tự tìm kiếm
300445,越南绘本VIP引流-Dẫn từ VIP sách ảnh VN
300571,越南 - FB-Instant Form-OV
300777,公共渠道华人
730,社媒转化
300151,FB- messenger-越南
300331,越南 爱奇艺- iqiyi Vietnam
300141,绘本冷启动首页弹窗-越南
300541,越南 - Zalo ads
570,国际版CRM CC转介绍渠道
1035,越南 - HCM - Other
732,转介绍-越南
300121,社媒流量-Messages-越南
500084,国内crm导入-越南
300461,越南 - HCM Offline booth
300301,越南 tiktok - Tiktok Việt Nam
300351,越南媒体 - Vietnam News source
9091,app注册/登陆
300181,情景剧素材直投-越南
300111,公元FB测试-越南
300823,华人KOC
461,市场电销渠道61
333766,Local Web 1
300001,绘本商城引流-越南
333782,KOL - Nu Family
300471,越南 - HCM - Sales development
333882,TH-TT-Englishstories-link
300381,越南 -VN Parent fanpage review
333883,TH-TT-Palfishenglshshop-link
333084,Lotus Amata (Sharing Booth)
300391,越南 - VN KOC
333471,Flagship - Central Rama 2 (TikTok)
300441,越南 - VN Offline booth
333075,Grandprix Runbike Kamol Sport Park
731,KOL-越南
333051,Kid Fair by Central @Fashion Island 17-29 Jun. 25
300291,越南 gg - VN google
333256,BBB MKT (Sale1Day1)
300832,泰国-H5测试
444,市场电销投放44
531,绘本-冷启动-越南
300411,越南 - AI call
1136,越南 - DN - Sales development
8872,产研测试（勿动）
942,Flagship (Fashion Island) - Referral
1036,越南 - HCM - Minh Phu kindergarten
333566,KOL - PJNJ Family
333998,FB Ads-Central Mahachai
333989,FB Ads-Central Nakornprathom
333774,Partner - imoo Watch
580,国际版CRM 班主任转介绍渠道
333062,Event Booth at Central Ramindra with Pyramids Theme
666106,华人whatsapp-新号码
666206,fb/ins达人-desiree_dumbo
300171,官网申请试-越南
888222,MY_自然量
300446,泰国绘本VIP引流-สมาชิกPalfish English VIPในประเทศไทย
300442,绘本冷启动首页弹窗-泰国
600601,Wooby老师专属渠道-马来
1134,越南 - DN - Messenger
3337,Partner - Assetwise
333005,Booth @Central Ramindra (1-10 Apr.)
300555,续费活动
300812,泰国-APIH5测试
1132,越南岘港转介绍 - Kênh giới thiệu DN
333461,Flagship - Fashion Island FB
410,港澳台市场投放10
411,港澳台投放11
300215,FB小组专属
33368,KOL - TonFaii Live VDO
742,转介绍-泰国
300261,新粉丝页-越南
300352,post-泰国
333441,PalFish English Play Fest (Staff 3)
300041,直投-课程素材测试-越南
333206,For Booking trials - The Mall Bangkapi
300061,转介绍打卡2-越南
300451,越南 - VN affiliate (AT)
300251,TT直投-越南
333023,Lotus Ramintra
1137,越南 - DN - Nguyệt KOC
1034,越南 - HCM - FB
333436,PalFish English Play Fest (Sales 10)
1033,越南 - HCM - Blue World Standee
1138,越南 - DN - Bắc Ninh Agency
541,绘本-冷启动-越南
8484,SEM-TH
1133,越南 - DN - JAPAN KOC
300114,GG-台湾- DSP广告
333551,TH_live_02
1135,越南 - DN - FB H5
300382,1009KOL-泰国
800002,Kulladis Wittayanusorn
560,英文转介绍
